player_id,game_type,game_level,play_time,last_interaction
6427001,priority,0,705,2307
6427001,people,0,895,3948
6427001,knowledge,0,1127,4667
6427001,priority,1,99,6561
6427001,refusal,4,162,7696
6427001,refusal,0,499,9218
6427001,refusal,3,282,9682
6427001,refusal,1,496,10057
6427001,people,2,289,11490
6427001,priority,2,169,11706
6427001,priority,3,189,12174
6427001,knowledge,8,388,13475
6427001,refusal,2,167,14394
6427001,priority,8,133,15443
6427001,knowledge,6,401,17175
6427001,refusal,5,141,17513
6427001,refusal,6,148,17669
6427001,refusal,7,152,18165
6427001,priority,4,124,18469
6427001,people,6,272,18813
6427001,priority,5,368,20681
6427001,people,1,965,22630
6427001,people,5,1246,23090
6427001,priority,6,173,23534
6427001,priority,7,166,23700
6427001,people,3,499,24142
6427001,people,7,809,24520
6427001,people,8,1240,25070
6427001,knowledge,7,1310,26864
6427001,knowledge,4,593,27336
6427001,knowledge,1,556,28241
6427001,priority,9,1011,30497
6427001,people,4,575,31931
6427001,knowledge,9,1544,33031
6427001,knowledge,5,1958,33705
6427001,knowledge,2,1025,34632
6427001,knowledge,3,719,35104
6427001,people,9,1210,36462
6427001,refusal,8,327,37370
6427001,refusal,9,366,37482
6427002,people,0,384,1404
6427002,priority,0,130,1792
6427002,knowledge,0,707,2741
6427002,people,1,455,3359
6427004,people,0,367,2322
6427004,knowledge,0,636,2985
6427004,priority,0,672,3202
6427004,refusal,0,368,4253
6427004,priority,2,279,5126
6427004,knowledge,1,263,5718
6427004,refusal,4,341,6210
6427004,refusal,1,211,7135
6427004,refusal,3,97,7584
6427004,people,5,168,8342
6427004,priority,1,70,8673
6427004,priority,3,231,8913
6427004,knowledge,3,348,9765
6427004,refusal,2,162,10170
6427004,priority,4,273,12693
6427004,people,3,151,13061
6427004,people,2,290,13175
6427004,people,1,297,13312
6427004,people,7,425,13760
6427004,people,8,688,14041
6427004,priority,5,225,14304
6427004,knowledge,8,262,14953
6427004,refusal,6,110,15741
6427004,refusal,5,94,15844
6427004,refusal,7,110,16313
6427004,priority,6,218,17596
6427004,people,9,413,18882
6427004,priority,7,140,19044
6427004,knowledge,7,288,20284
6427004,knowledge,6,518,20999
6427004,refusal,9,170,22521
6427004,priority,9,494,23539
6427004,knowledge,5,761,25031
6427004,knowledge,2,553,25638
6427004,knowledge,9,983,26785
6427004,people,6,1519,28385
6427004,priority,8,709,28835
6427004,people,4,1186,28997
6427004,refusal,8,402,29421
6427004,knowledge,4,1599,30185
6427005,people,0,991,2679
6427005,priority,0,495,3652
6427006,people,0,206,1150
6427006,priority,0,546,1779
6427006,knowledge,0,486,2634
6427006,people,1,348,3120
6427006,refusal,0,482,3950
6427006,priority,1,108,4639
6427006,priority,2,239,4878
6427006,priority,4,197,5082
6427006,refusal,1,247,5409
6427006,refusal,4,177,5586
6427006,knowledge,1,507,6361
